sample_id,feature_type,block_index,layer_fraction,is_primary_block,similarity_1e5_to_clean,similarity_render_to_clean,delta_render_over_1e5,different_scene_1e5_to_clean,different_scene_render_to_clean,scene_advantage_1e5,scene_advantage_render,delta_scene_advantage,similarity_1e5_to_render,different_scene_target_sample_id
0789,raw,3,1/4,0,0.762933,0.783686,0.020753,0.672039,0.723855,0.090894,0.059830,-0.031064,0.597929,3026
0789,centered,3,1/4,0,0.721737,0.814802,0.093065,0.640655,0.759509,0.081082,0.055293,-0.025789,0.616623,3026
0802,raw,6,2/4,1,0.676584,0.854994,0.178410,0.614504,0.652112,0.062080,0.202882,0.140802,0.538290,4658
0802,centered,6,2/4,1,0.710418,0.824305,0.113887,0.608694,0.648203,0.101724,0.176102,0.074378,0.570506,4658
0802,raw,3,1/4,0,0.710394,0.840869,0.130475,0.664827,0.658220,0.045567,0.182649,0.137082,0.589612,4658
0802,centered,3,1/4,0,0.705340,0.851066,0.145726,0.619747,0.707415,0.085593,0.143651,0.058057,0.602023,4658
0806,raw,6,2/4,1,0.377655,0.733359,0.355704,0.289427,0.631748,0.088228,0.101611,0.013383,0.163227,3247
0806,centered,6,2/4,1,0.521405,0.744274,0.222869,0.440858,0.634637,0.080547,0.109637,0.029090,0.411067,3247
0806,raw,3,1/4,0,0.566965,0.720448,0.153483,0.486170,0.644819,0.080795,0.075629,-0.005166,0.401108,3247
0806,centered,3,1/4,0,0.635636,0.773781,0.138145,0.562178,0.699110,0.073459,0.074671,0.001213,0.559963,3247
0844,raw,6,2/4,1,0.761564,0.862025,0.100461,0.583638,0.603548,0.177926,0.258478,0.080552,0.663259,3187
0844,centered,6,2/4,1,0.747676,0.842746,0.095071,0.518727,0.589321,0.228949,0.253425,0.024476,0.629555,3187
0844,raw,3,1/4,0,0.793369,0.855538,0.062169,0.600175,0.627872,0.193194,0.227666,0.034472,0.706412,3187
0844,centered,3,1/4,0,0.731780,0.871789,0.140008,0.522803,0.677794,0.208978,0.193994,-0.014983,0.626235,3187
0853,raw,6,2/4,1,0.426719,0.764234,0.337515,0.364563,0.757189,0.062156,0.007045,-0.055111,0.221656,1993
0853,centered,6,2/4,1,0.545318,0.766055,0.220738,0.489735,0.751534,0.055582,0.014522,-0.041061,0.416237,1993
0853,raw,3,1/4,0,0.605793,0.786947,0.181154,0.561270,0.777529,0.044523,0.009418,-0.035105,0.454823,1993
0853,centered,3,1/4,0,0.660579,0.824060,0.163481,0.626957,0.817784,0.033622,0.006276,-0.027346,0.576156,1993
0856,raw,6,2/4,1,0.628887,0.793811,0.164924,0.473824,0.739608,0.155063,0.054203,-0.100860,0.446709,2819
0856,centered,6,2/4,1,0.674128,0.789173,0.115045,0.524307,0.722477,0.149822,0.066696,-0.083125,0.526596,2819
0856,raw,3,1/4,0,0.696981,0.815922,0.118941,0.571959,0.736598,0.125022,0.079324,-0.045698,0.559406,2819
0856,centered,3,1/4,0,0.699750,0.844881,0.145131,0.604877,0.762791,0.094873,0.082090,-0.012783,0.606442,2819
0864,raw,6,2/4,1,0.361886,0.740639,0.378753,0.251602,0.784688,0.110284,-0.044049,-0.154333,0.212170,2130
0864,centered,6,2/4,1,0.504213,0.747667,0.243454,0.424923,0.768707,0.079290,-0.021041,-0.100330,0.454843,2130
0864,raw,3,1/4,0,0.559376,0.715366,0.155990,0.482109,0.764746,0.077267,-0.049380,-0.126647,0.421290,2130
0864,centered,3,1/4,0,0.636401,0.755639,0.119238,0.595706,0.784565,0.040695,-0.028926,-0.069621,0.539195,2130
0876,raw,6,2/4,1,0.379267,0.810115,0.430848,0.253692,0.752226,0.125575,0.057889,-0.067685,0.217611,0225
